id	filename	title	year	decade	doc_type
0	cihm_38163.pdf	The British treaty [microform] : with an appendix 	1808	1800	other
1	P000045.pdf	Travels and adventures in Canada and the Indian te	1809	1800	other
2	cihm_18748.pdf	The idler [microform]	1810	1810	other
3	cihm_18747.pdf	The idler [microform]	1810	1810	other
4	cihm_60816.pdf	A view of the state of parties in the United State	1812	1810	other
5	bp_2820.pdf	Map of the North-West Territory of the Province of	1814	1810	map
6	cihm_21045.pdf	A brief description of Nova Scotia with plates of 	1818	1810	other
7	cihm_38281.pdf	Historical sketches of the missions of the United 	1818	1810	other
8	cihm_38167.pdf	Sketches of America [microform] : a narrative of a	1818	1810	other
9	cihm_44290.pdf	The history, civil and commercial of the British W	1819	1810	other
10	cihm_44287.pdf	The history, civil and commercial of the British W	1819	1810	other
11	cihm_44288.pdf	The history, civil and commercial of the British W	1819	1810	other
12	cihm_44289.pdf	The history, civil and commercial of the British W	1819	1810	other
13	cihm_44291.pdf	The history, civil and commercial of the British W	1819	1810	other
14	cihm_44292.pdf	The history, civil and commercial of the British W	1819	1810	other
15	P000081.pdf	Relation d'un voyage à la côte du nord-ouest de l'	1820	1820	other
16	P000151.pdf	Narrative of a journey to the shores of the polar 	1823	1820	other
17	cihm_41974.pdf	Observations d'un catholique sur l'Histoire du Can	1827	1820	other
18	cihm_52196.pdf	Remarques publiées dans le Québec Mercury nos. 2, 	1827	1820	government
19	cihm_41970.pdf	Copy of a letter from James Stuart, Esq. to the Ri	1831	1830	other
20	cihm_18733.pdf	Divers documens adressés à l'Honorable Louis Josep	1834	1830	other
21	cihm_41964.pdf	Le Bougainville de la jeunesse ou Nouvel abrégé de	1839	1830	other
22	cihm_18742.pdf	The letter-bag of the Great Western, or, Life in a	1840	1840	other
23	cihm_41962.pdf	An exploring tour beyond the Rocky Mountains in No	1840	1840	other
24	cihm_38161.pdf	A dictionary, geographical, statistical and histor	1841	1840	other
25	cihm_41972.pdf	On the forthcoming union of the two Canadas [micro	1841	1840	other
26	cihm_46695.pdf	The history of the navy of the United States of Am	1841	1840	other
27	cihm_50569.pdf	Historical collections of the state of New York [m	1841	1840	other
28	cihm_38162.pdf	A dictionary, geographical, statistical and histor	1842	1840	other
29	attachorsamslic01haligoog.pdf	The Attaché; Or, Sam Slick in England.	1843	1840	other
30	attachorsamslic02haligoog.pdf	The attaché, or, Sam Slick in England. Vol. I	1843	1840	other
31	cihm_18756.pdf	The attaché, or, Sam Slick in England [microform]	1843	1840	other
32	cihm_18757.pdf	The attaché, or, Sam Slick in England [microform]	1843	1840	other
33	cihm_24494.pdf	Discovery of New-England by the Northmen five hund	1844	1840	other
34	cihm_38170.pdf	Campaign against Quebec [microform] : being an acc	1844	1840	other
35	cihm_41971.pdf	The travellers' hand book for the state of New-Yor	1844	1840	map
36	cihm_34334.pdf	A system of the creation of our globe, of the plan	1845	1840	other
37	cihm_47055.pdf	The history of Oregon and California and the other	1845	1840	map
38	cihm_18736.pdf	The life and voyages of Americus Vespucius [microf	1846	1840	other
39	cihm_47558.pdf	A journal of visitation to the western portion of 	1846	1840	other
40	P000239.pdf	Sketches in North America and the Oregon Territory	1849	1840	other
